StudentId,Grade
8de3,2nd
d969,2nd
6d29,1st
1dd9,1st
f63c,1st
0a2e,3rd
06f3,3rd
e18b,Fail
efb4,3rd
2f08,3rd
1665,2nd
486d,2nd
fe9a,3rd
5a4b,3rd
c80e,2nd
2e3f,3rd
a8b5,Fail
6484,1st
a6c7,3rd
5ce9,Fail
9f15,2nd
05cf,3rd
d1d7,Fail
c040,3rd
d4a9,2nd
4cdb,2nd
5e07,3rd
52d9,2nd
631b,1st
8de1,2nd
f605,2nd
026e,3rd
8a21,3rd
edfc,3rd
e2e7,2nd
d60c,1st
7fc0,3rd
71e7,3rd
fc66,2nd
cd9e,2nd
646b,1st
ade7,1st
c38e,Fail
aca3,1st
1e4f,3rd
e632,2nd
8945,2nd
7703,3rd
0139,3rd
bde7,2nd
fb47,1st
72af,1st
322b,2nd
49cf,2nd
0ea4,1st
e20f,3rd
c9b2,3rd
1123,2nd
b938,2nd
295e,Fail
3a71,2nd
4c47,Fail
7bf9,3rd
8952,Fail
d3e2,Fail
733d,2nd
584e,1st
6cd6,1st
ca0a,Fail
6fec,2nd
e44a,Fail
d609,3rd
3914,2nd
8ddb,2nd
76bb,3rd
f517,3rd
a977,Fail
1120,1st
1f32,3rd
020c,Fail
5dae,3rd
d884,3rd
0126,2nd
13bb,Fail
491a,2nd
ae35,2nd
68a9,1st
8f47,3rd
c897,1st
de6f,3rd
a689,2nd
fd73,Fail
c0a8,1st
4f2c,Fail
3e1c,Fail
62f7,3rd
0326,1st
8b7a,Fail
df94,3rd
57df,2nd
8857,3rd
c910,Fail
9673,3rd
5867,3rd
8976,2nd
56fe,Fail
1d56,2nd
