StudentId,Time,Type,Action
72af,"28/05/23, 10:51",User report,Grade user report viewed
72af,"28/05/23, 10:51",System,Course viewed
c426,"27/05/23, 15:53",System,Course viewed
0326,"26/05/23, 22:22",System,Course viewed
8b7a,"26/05/23, 21:52",System,Course viewed
8b7a,"26/05/23, 21:52",Open Grader,Open Grader viewed
8b7a,"26/05/23, 21:52",System,Course viewed
bde7,"26/05/23, 20:06",System,Course viewed
bde7,"26/05/23, 20:00",System,Course viewed
72af,"26/05/23, 09:58",User report,Grade user report viewed
72af,"26/05/23, 09:58",System,Course viewed
c426,"25/05/23, 18:55",Turnitin Assignment 2,List Submissions
c426,"25/05/23, 18:54",System,Course viewed
a6c7,"25/05/23, 11:16",System,Course viewed
a6c7,"25/05/23, 07:43",Kaltura Video Resource,Video resource viewed
a6c7,"25/05/23, 07:42",System,Course viewed
56fe,"24/05/23, 21:36",Turnitin Assignment 2,List Submissions
56fe,"24/05/23, 21:36",System,Course viewed
56fe,"24/05/23, 21:36",Turnitin Assignment 2,List Submissions
56fe,"24/05/23, 21:36",System,Course viewed
56fe,"24/05/23, 21:35",Quiz,Course module viewed
56fe,"24/05/23, 21:35",System,Course viewed
56fe,"24/05/23, 21:35",Turnitin Assignment 2,List Submissions
56fe,"24/05/23, 21:33",System,Course viewed
06f3,"24/05/23, 17:59",Questionnaire,Individual Responses report viewed
06f3,"24/05/23, 17:59",Questionnaire,Responses submitted
06f3,"24/05/23, 17:59",Questionnaire,Course module viewed
06f3,"24/05/23, 17:59",System,Course viewed
06f3,"24/05/23, 17:59",Forum,Course module viewed
06f3,"24/05/23, 17:59",System,Course viewed
df94,"24/05/23, 08:24",Questionnaire,Responses submitted
df94,"24/05/23, 08:24",Questionnaire,Course module viewed
df94,"24/05/23, 08:23",System,Course viewed
f21b,"23/05/23, 23:23",System,Course viewed
f21b,"23/05/23, 23:23",Questionnaire,Individual Responses report viewed
f21b,"23/05/23, 23:22",Questionnaire,Responses submitted
f21b,"23/05/23, 23:22",Questionnaire,Course module viewed
f21b,"23/05/23, 23:21",System,Course viewed
584e,"23/05/23, 19:05",System,Course viewed
584e,"23/05/23, 19:05",System,Course viewed
